	GSM3308475	GSM3308477	GSM3308480	GSM3308481	GSM3308482	GSM3308483	GSM3308484	GSM3308485	GSM3308486	GSM3308487	GSM3308488	GSM3308489	GSM3308494	GSM3308495	GSM3308512	GSM3308515	GSM3308516	GSM3308517
CLEC4D	256	478	1814	559	217	209	868	220	473	565	295	299	316	1835	262	232	285	240
CCR6	92	72	10	183	102	118	90	134	91	64	463	436	149	100	187	279	268	186
