	GSM5629975	GSM5629976	GSM5629977	GSM5629978	GSM5629983	GSM5629984	GSM5629989	GSM5629990	GSM5629992	GSM5629993	GSM5629994	GSM5629995	GSM5629998	GSM5629999	GSM5630000	GSM5630001	GSM5630002	GSM5630003	GSM5630004	GSM5630005	GSM5630014	GSM5630015	GSM5630022	GSM5630023	GSM5630026	GSM5630027	GSM5630028	GSM5630029
HERC6	1848	329	397	365	1992	144	1848	161	550	222	1444	238	117	252	844	258	564	138	3147	144	4114	295	569	131	76	151	230	124
IL36RN	2673	547	163	564	9822	732	5327	593	8854	1052	8249	1031	1034	1439	17388	1300	7306	809	10911	1134	38542	942	4944	1067	4060	626	6898	998
SAMD9	582	208	177	303	1599	164	797	162	500	333	1060	291	184	263	1076	257	1179	181	2031	163	4165	289	370	163	122	103	270	125
ZNF415	130	274	197	474	76	135	94	162	53	147	96	150	156	174	61	191	120	152	86	239	317	482	49	130	43	204	30	36
HCAR3	793	192	190	327	4463	191	423	193	451	193	381	199	172	273	837	186	425	149	306	140	4787	241	181	121	143	59	216	109
NAMPT	5149	2254	2955	4578	19581	2699	8973	3296	8038	3030	9235	3149	2123	1877	13443	1733	6259	3532	6829	2938	43858	3569	6207	1543	9003	1798	5075	1049
CENPK	221	65	143	163	274	81	210	76	182	81	194	77	48	66	168	82	158	117	164	121	765	131	278	105	104	66	82	44
TRIM22	4454	1386	1336	1807	3818	717	2115	547	1487	1032	2139	998	658	716	1256	740	1947	763	3736	778	7213	2105	901	745	515	527	463	516
IL2RA	356	56	109	101	202	67	66	41	73	48	82	78	68	35	128	24	260	36	33	13	331	65	47	3	17	19	27	25
PPARG	129	378	886	1404	195	997	161	746	127	678	378	708	488	384	148	356	217	1110	311	955	282	908	121	309	44	344	53	94
